AirportName,Latitude,Longitude,Continent,IsoCountry,IsoRegion,City,GpsCode,IataCode
Akwa Ibom International Airport,4.8725,8.093,AF,NG,NG-AK,Uyo,DNAI,QUO
Al Abraq International Airport,32.7887,21.9643,AF,LY,LY-JA,Al Albraq,HLLQ,LAQ
Al-Ahsa International Airport,25.285299,49.485199,AS,SA,SA-04,Hofuf,OEAH,HOF
Al Ain International Airport,24.26169968,55.60919952,AS,AE,AE-AZ,Al Ain,OMAL,AAN
Alakanuk Airport,62.68004227,-164.6599274,NA,US,US-AK,Alakanuk,PAUK,AUK
Alamogordo White Sands Regional Airport,32.84051,-105.98794,NA,US,US-NM,Alamogordo,KALM,ALM
Al Asad Air Base,33.78559875,42.44120026,AS,IQ,IQ-AN,Hīt,ORAA,IQA
Alas Leuser Airport,3.391456,97.863726,AS,ID,ID-AC,Kutacane,WIMU,LSR
Albacete Airport / Los Llanos Air Base,38.948502,-1.86352,EU,ES,ES-CM,Albacete,LEAB,ABC
Albany Airport,-34.94329834,117.8089981,OC,AU,AU-WA,Albany,YABA,ALH
Albany International Airport,42.74829865,-73.80169678,NA,US,US-NY,Albany,KALB,ALB
Al Bateen Executive Airport,24.428301,54.458099,AS,AE,AE-AZ,Abu Dhabi,OMAD,AZI
Al-Bayda Airport,14.105974,45.441079,AS,YE,YE-BA,Al-Bayda,OYBI,BYD
Alberni Valley Regional Airport,49.321899,-124.931,NA,CA,CA-BC,Port Alberni,CBS8,YPB
Albert-Bray Airport,49.9715004,2.697659969,EU,FR,FR-HDF,Albert/Bray,LFAQ,BYF
Albert J Ellis Airport,34.829201,-77.612099,NA,US,US-NC,Richlands,KOAJ,OAJ
Albert Lea Municipal Airport,43.68149948,-93.36720276,NA,US,US-MN,Albert Lea,KAEL,AEL
Alberto Carnevalli Airport,8.582078,-71.161041,SA,VE,VE-L,Mérida,SVMD,MRD
Alberto Delgado Airport,21.78829956,-79.99720001,NA,CU,CU-07,Trinidad,MUTD,TND
Alberto Lleras Camargo Airport,5.67732,-72.9703,SA,CO,CO-BOY,Sogamoso,SKSO,SOX
Albertus Airport,42.24620056,-89.58200073,NA,US,US-IL,Freeport,KFEP,FEP
Albert Whitted Airport,27.7651,-82.626999,NA,US,US-FL,St Petersburg,KSPG,SPG
Albi-Le Séquestre Airport,43.91389847,2.113059998,EU,FR,FR-OCC,Albi/Le Séquestre,LFCI,LBI
Albina Airport,5.51272,-54.050098,SA,SR,SR-MA,Albina,SMBN,ABN
Al-Bough Airport,17.34670067,44.62170029,AS,YE,YE-SD,Al-Bough,OYBQ,BUK
Albuquerque International Sunport,35.040199,-106.609001,NA,US,US-NM,Albuquerque,KABQ,ABQ
Albury Airport,-36.066758,146.959148,OC,AU,AU-NSW,Albury,YMAY,ABX
Alcantarí Airport,-19.246835,-65.149611,SA,BO,BO-H,Yamparaez,SLAL,SRE
Alcides Fernández Airport,8.497847,-77.274106,SA,CO,CO-CHO,Acandí,SKAD,ACD
Al Dabbah Airport,18.0146,30.9595,AF,SD,SD-01,Al Dabbah,HSDB,EDB
Aldan Airport,58.60279846,125.4089966,AS,RU,RU-SA,Aldan,UEEA,ADH
Alderney Airport,49.706104,-2.21472,EU,GG,GG-U-A,Saint Anne,EGJA,ACI
Alegrete Novo Airport,-29.81270027,-55.89339828,SA,BR,BR-RS,Alegrete,SSLT,ALQ
Alejandro Velasco Astete International Airport,-13.53569984,-71.938797,SA,PE,PE-CUS,Cusco,SPZO,CUZ
Aleknagik / New Airport,59.2826004,-158.6179962,NA,US,US-AK,Aleknagik,5A8,WKK
Aleksandrovsk-Sakhalinskiy Airport,50.878037,142.174682,EU,RU,RU-SAK,Aleksandrovsk-Sakhalinskiy,UHSA,UHS
Alenquer Municipal Airport,-1.917,-54.7231,SA,BR,BR-PA,Alenquer,SDWQ,ALT
Aleppo International Airport,36.180698,37.2244,AS,SY,SY-HL,Aleppo,OSAP,ALP
Alerta Airport,-11.68299961,-69.33300018,SA,PE,PE-MDD,Fortaleza,SPAR,ALD
Alert Airport,82.517799,-62.280602,NA,CA,CA-NU,Alert,CYLT,YLT
Alert Bay Airport,50.582199,-126.916,NA,CA,CA-BC,Alert Bay,CYAL,YAL
"Ålesund Airport, Vigra",62.5625,6.1197,EU,NO,NO-15,Ålesund,ENAL,AES
Alexander Bay Airport,-28.575001,16.5333,AF,ZA,ZA-NC,Alexander Bay,FAAB,ALJ
Alexander Field South Wood County Airport,44.36029816,-89.83899689,NA,US,US-WI,Wisconsin Rapids,KISW,ISW
Alexandra Aerodrome,-45.210495,169.371113,OC,NZ,NZ-OTA,Alexandra,NZLX,ALR
Alexandria International Airport,31.3274,-92.549797,NA,US,US-LA,Alexandria,KAEX,AEX
Alexandroupoli Democritus Airport,40.8559,25.956301,EU,GR,GR-A,Alexandroupolis,LGAL,AXD
Alferez Armando Rodriguez Airport,-24.72139931,-60.54880142,SA,AR,AR-P,Las Lomitas,SATK,LLS
Alferez FAP Alfredo Vladimir Sara Bauer Airport,-2.796129942,-76.46659851,SA,PE,PE-LOR,Andoas,SPAS,AOP
Alferez Fap David Figueroa Fernandini Airport,-9.878809929,-76.20480347,SA,PE,PE-HUC,Huánuco,SPNC,HUU
Alfonso Bonilla Aragon International Airport,3.54322,-76.3816,SA,CO,CO-VAC,Cali,SKCL,CLO
Alfonso López Pumarejo Airport,10.435,-73.2495,SA,CO,CO-CES,Valledupar,SKVP,VUP
Alfredo Noa Díaz Airport,20.242374,-74.148268,NA,CU,CU-14,Maisí,MUMA,UMA
Alfredo Vásquez Cobo International Airport,-4.19355,-69.9432,SA,CO,CO-AMA,Leticia,SKLT,LET
Al Ghaydah International Airport,16.193341,52.174186,AS,YE,YE-MR,Al Ghaydah,OYGD,AAY
Alghero-Fertilia Airport,40.632099,8.29077,EU,IT,IT-88,Alghero,LIEA,AHO
Algona Municipal Airport,43.078104,-94.271836,NA,US,US-IA,Algona,KAXA,AXG
Ali Air Base,30.935801,46.090099,AS,IQ,IQ-DQ,Nasiriyah,ORTL,XNH
Alicante-Elche Miguel Hernández Airport,38.2822,-0.558156,EU,ES,ES-VC,Alicante,LEAL,ALC
Alice International Airport,27.7409,-98.026901,NA,US,US-TX,Alice,KALI,ALI
Alice Springs Airport,-23.806588,133.903427,OC,AU,AU-NT,Alice Springs,YBAS,ASP
Ali-Sabieh Airport,11.146889,42.72,AF,DJ,DJ-AS,Ali-Sabieh,HDAS,AII
Al-Jawf Domestic Airport,29.78510094,40.09999847,AS,SA,SA-12,Al-Jawf,OESK,AJF
Allah Valley Airport,6.367903,124.752431,AS,PH,PH-SCO,Surallah,RPMA,AAV
Allakaket Airport,66.55180359,-152.621994,NA,US,US-AK,Allakaket,PFAL,AET
Allama Iqbal International Airport,31.521601,74.403603,AS,PK,PK-PB,Lahore,OPLA,LHE
Alldays Airport,-22.679001,29.0555,AF,ZA,ZA-NP,Alldays,FAAL,ADY
Allegheny County Airport,40.354401,-79.930199,NA,US,US-PA,Pittsburgh,KAGC,AGC
Allen Army Airfield,63.99449921,-145.7220001,NA,US,US-AK,Delta Junction Ft Greely,PABI,BIG
Allen C Perkinson Blackstone Army Air Field,37.07419968,-77.95749664,NA,US,US-VA,Blackstone,KBKT,BKT
Alliance Municipal Airport,42.05319977,-102.8040009,NA,US,US-NE,Alliance,KAIA,AIA
Alma Airport,48.50889969,-71.64189911,NA,CA,CA-QC,Alma,CYTF,YTF
Al Maktoum International Airport,24.896356,55.161389,AS,AE,AE-DU,Jebel Ali,OMDW,DWC
A L Mangham Jr. Regional Airport,31.57799911,-94.70950317,NA,US,US-TX,Nacogdoches,KOCH,OCH
Al Massira Airport,30.322478,-9.412003,AF,MA,MA-AGD,Agadir (Temsia),GMAD,AGA
Almaty International Airport,43.354267,77.042828,AS,KZ,KZ-ALA,Almaty,UAAA,ALA
Almeirim Airport,-1.479524,-52.578214,SA,BR,BR-PA,Almeirim,SNYA,GGF
Almería Airport,36.843899,-2.3701,EU,ES,ES-AN,Almería,LEAM,LEI
Al Minhad Air Base,25.02680016,55.36619949,AS,AE,AE-DU,Dubai,OMDM,NHD
Almirante Marco Andres Zar Airport,-43.2105,-65.2703,SA,AR,AR-U,Rawson,SAVT,REL
Almirante Padilla Airport,11.5262,-72.926,SA,CO,CO-LAG,Riohacha,SKRH,RCH
Al Najaf International Airport,31.989853,44.404317,AS,IQ,IQ-NA,Najaf,ORNI,NJF
Alonso Valderrama Airport,7.98784,-80.409837,NA,PA,PA-6,Chitré,MPCE,CTD
Alor Island - Mali Airport,-8.13234,124.597,AS,ID,ID-NT,Kabola,WATM,ARD
Alowe Airport,-0.545,9.444,AF,GA,GA-3,Wonga Wongué Presidential Reserve,FOGW,AWE
Alpena County Regional Airport,45.0780983,-83.56030273,NA,US,US-MI,Alpena,KAPN,APN
