airline_id,name,iata,icao,callsign,country,logo_svg_url,logo_png_url
983,Global Airlines,0G,GA0,Null,Argentina,https://d26to83vtzzpey.cloudfront.net/0G.svg,https://d39ferq6cuvala.cloudfront.net/0G.png
984,Air Vistara,UK,VTI,Null,India,https://d26to83vtzzpey.cloudfront.net/UK.svg,https://d39ferq6cuvala.cloudfront.net/UK.png
985,TransRussiaAirlines,1E,RGG,Null,Russia,https://d26to83vtzzpey.cloudfront.net/1E.svg,https://d39ferq6cuvala.cloudfront.net/1E.png
986,Severstal Air Company,D2,\N,Null,Russia,https://d26to83vtzzpey.cloudfront.net/D2.svg,https://d39ferq6cuvala.cloudfront.net/D2.png
987,REXAIR VIRTUEL,RR,RXR,Rexair,France,https://d26to83vtzzpey.cloudfront.net/RR.svg,https://d39ferq6cuvala.cloudfront.net/RR.png
988,WestJet Encore,WR,WEN,Encore,Canada,https://d26to83vtzzpey.cloudfront.net/WR.svg,https://d39ferq6cuvala.cloudfront.net/WR.png
989,Air Pegasus,OP,PPL,Null,India,https://d26to83vtzzpey.cloudfront.net/OP.svg,https://d39ferq6cuvala.cloudfront.net/OP.png
990,International Europe,9I,INE,Null,Spain,https://d26to83vtzzpey.cloudfront.net/9I.svg,https://d39ferq6cuvala.cloudfront.net/9I.png
991,V Air,ZV,VAX,Null,Taiwan,https://d26to83vtzzpey.cloudfront.net/ZV.svg,https://d39ferq6cuvala.cloudfront.net/ZV.png
992,Boutique Air (Priv),4B,BTQ,Null,United States,https://d26to83vtzzpey.cloudfront.net/4B.svg,https://d39ferq6cuvala.cloudfront.net/4B.png
993,VOLOTEA Airways,V7,VOE,Null,Spain,https://d26to83vtzzpey.cloudfront.net/V7.svg,https://d39ferq6cuvala.cloudfront.net/V7.png
994,INAVIA Internacional,Z5,IIR,Null,Argentina,https://d26to83vtzzpey.cloudfront.net/Z5.svg,https://d39ferq6cuvala.cloudfront.net/Z5.png
995,Liberty Airways,LE,LTY,Null,United States,https://d26to83vtzzpey.cloudfront.net/LE.svg,https://d39ferq6cuvala.cloudfront.net/LE.png
